AccountID,TransactionID,TransactionAmount,TransactionCurrencyCode,LocalHour,TransactionScenario,TransactionType,TransactionIPaddress,IpState,IpPostalCode,IpCountry,IsProxyIP,BrowserLanguage,PaymentInstrumentType,CardType,PaymentBillingPostalCode,PaymentBillingState,PaymentBillingCountryCode,ShippingPostalCode,ShippingState,ShippingCountry,CvvVerifyResult,DigitalItemCount,PhysicalItemCount,TransactionDateTime
Q8132147175675431,DE6UF2QA-NR21-8THY-XNC3-HD0EDFQBZ1NH,908.3,USD,18,A,P,71.179,maryland,21201,us,FALSE,en-US,CREDITCARD,,21158,MD,US,21158,MD,US,M,6,3,2/10/2007 20:38
Z7157107312988898,BC1AKZR9-2UTU-2Y8O-FS2A-E0IEKBU0P9KH,1232.86,USD,4,A,P,69.201,new york,10020,us,FALSE,en-US,CREDITCARD,AMEX,11235,NY,US,11235,NY,US,M,0,19,7/28/2007 23:30
I2240155697934762,8ZO6OGD2-L3QJ-O9R1-GQQP-1A7ZCOB67EVU,1447.02,EUR,17,A,P,147.143,rotherham,0,gb,FALSE,en-GB,CREDITCARD,VISA,LL57 1AU,,GB,LL57 1AU,,GB,,0,21,7/22/2007 15:42
A7009533565324047,ZO6BHPWM-MBDS-IRPX-LTWL-2MCHI9TFJPOT,1261.67,USD,20,A,P,86.89,zuid-holland,3000,nl,FALSE,nl-NL,CREDITCARD,,5342 NC,,NL,5342 NC,,NL,M,0,15,4/26/2007 11:48
B8182372744989622,V1AKC66T-3KTI-1RCK-FYME-IWS75R7B62Y6,664.68,SEK,17,A,P,42.3,none,0,hk,FALSE,zh-HK,CREDITCARD,VISA,,,HK,,,HK,,1,14,3/13/2007 8:01
I9422796012145797,YW1FII4P-9BKI-CZ1V-KSPM-R8UB619EYN94,648.41,AUD,6,A,P,75.43,california,90006,us,FALSE,en-US,CREDITCARD,VISA,92861,CA,US,92861,CA,US,M,9,19,5/11/2007 12:16
Q9860950176335745,YH85RLHX-ER69-CFX8-N9UY-DPLGPDQAG77T,217.47,EUR,19,A,P,64.134,california,93555,us,FALSE,en-US,PAYPAL,MC,94587,CA,US,94587,CA,US,M,5,15,3/5/2007 0:05
U5095128914988783,W818MVTH-YAHE-0OQO-YS24-9RFNDPOG112S,211.54,USD,6,A,P,49.231,unknown,0,th,FALSE,en-TH,CREDITCARD,VISA,10120,bangkok,TH,10120,bangkok,TH,M,8,0,9/18/2007 20:41
A8883240331023491,KLAUU5MX-RPOX-APBF-JPGX-5WXGNFIVNLG6,1159.39,USD,14,A,P,69.15,texas,75219,us,FALSE,en-US,CREDITCARD,VISA,76040,TX,US,76040,TX,US,M,4,16,2/24/2007 23:49
H7753832353671255,AN52EHQF-TECB-XS73-BS11-EIJYDDL7M9QU,1361.68,AUD,22,A,P,217.251,hamburg,20001,de,FALSE,de-DE,CREDITCARD,VISA,21220,,DE,21220,,DE,M,2,20,5/21/2007 14:22
H9711146377964577,NBYRIVQQ-HI7T-VCHX-KEN9-3LLR00ZKYQPS,630.72,USD,17,A,P,99.227,ontario,l6p 1a1,ca,FALSE,en-CA,CREDITCARD,VISA,L6P3E2,ON,CA,L6P3E2,ON,CA,M,3,2,2/10/2007 15:18
P9449654854342518,LGI0HE2U-GLUF-NPYE-C7BA-FH90XUYCXO45,1899.68,USD,8,A,P,117.202,karnataka,560000,in,FALSE,en-IN,PAYPAL,VISA,600040,Tamil Nadu,IN,600040,Tamil Nadu,IN,M,5,0,2/10/2007 14:31
Y7269459732775720,WBDKGWX4-T64Z-JB3O-F77X-3GFVMVCH6CKM,72.82,EUR,4,A,P,70.192,district of columbia,20026,us,TRUE,en-US,CREDITCARD,VISA,22304,VA,US,22304,VA,US,M,7,0,4/29/2007 20:50
Q4658585160601705,4KNW9ODM-OS1W-AZJE-ACWL-Z58YSOVYZ1F8,923.62,USD,10,A,P,184.88,florida,32812,us,FALSE,en-US,CREDITCARD,VISA,32827,FL,US,32827,FL,US,M,3,25,9/27/2007 8:32
H4570518677344480,YPQH7TWY-MQUT-3VYT-K1KW-6ZVBB5RBA7XM,443.64,USD,2,A,P,116.15,none,0,sg,FALSE,en-SG,CREDITCARD,VISA,460170,,SG,460170,,SG,M,5,19,11/18/2007 1:25
R5287123088469764,Z2PRGPJZ-DPQ6-ZKDA-NEUY-28SPB1Q03WLD,355.94,USD,15,A,P,184.36,georgia,30324,us,FALSE,en-US,CREDITCARD,MC,30064,GA,US,30064,GA,US,M,7,5,6/1/2007 7:00
D3031848013867037,5K97DZ3B-4V6B-QCEK-C60J-I890W5SU882F,203.09,USD,8,A,P,108.195,south carolina,29601,us,FALSE,en-US,PAYPAL,VISA,29621,SC,US,29621,SC,US,M,2,7,8/5/2007 14:38
Q7863659672634406,4ZNBZYQZ-923F-TZY0-4BFE-663MGNLR0TKM,1986.08,USD,9,A,P,209.237,minnesota,56573,us,FALSE,en-US,CREDITCARD,MC,55329,MN,US,55329,MN,US,M,6,13,8/19/2007 6:35
M2158507377939077,2OVMN9LR-R819-3VYL-DM13-CZK5YM4BNM5D,1033.1,USD,15,A,P,74.45,nevada,89801,us,FALSE,en-US,CREDITCARD,,89801,NV,US,89801,NV,US,M,5,0,3/6/2007 12:57
K7736320286929706,M6577UQF-C1YN-XY8N-3HHZ-4L8C3D7JKYA8,1238.45,USD,11,A,P,71.233,vermont,5201,us,FALSE,en-US,CREDITCARD,MC,5201,VT,US,5201,VT,US,M,4,20,4/16/2007 1:04
M3871520770508669,5TS3MOEP-9VEH-VU0L-9SCX-XZIQBGF7LWGJ,1014.68,USD,3,A,P,71.1,florida,32812,us,FALSE,en-US,CREDITCARD,MC,34758,FL,US,34758,FL,US,M,4,4,6/23/2007 3:40
F9489945443674930,HLQ5K4U7-ZV7L-QRXE-RN18-ZZ03UJ03GEBE,115.37,USD,14,A,P,65.205,maryland,21042,us,FALSE,en-US,CREDITCARD,VISA,21048,MD,US,21048,MD,US,M,10,2,2/10/2007 12:42
Q6010537553381064,2JJ3KCZK-8DX1-YP8R-QCT0-V674XDOWBLDZ,1701.04,USD,10,A,P,99.9,texas,76102,us,FALSE,en-US,CREDITCARD,VISA,79424,TX,US,79424,TX,US,M,0,9,3/4/2007 15:06
C8467547412232735,8SW6TLFB-T342-XGSG-IWAX-TFYPPMFX61KY,1242.69,AUD,2,A,P,98.164,kansas,66102,us,FALSE,en-US,CREDITCARD,AMEX,67230,KS,US,67230,KS,US,M,3,8,6/5/2007 8:39
X2280914017506352,9P3I1JBU-VIM3-FXM2-K0EU-UNYOFTLCJM7M,543.08,USD,18,A,P,131.107,washington,98052,us,FALSE,en-US,CREDITCARD,,98019,WA,US,98019,WA,US,M,4,4,10/28/2007 19:16
V6126142249316910,A0LHMHSM-8D6S-CRV0-D556-S0YMM60Y9FO0,726.2,USD,18,A,P,122.109,western australia,6000,au,FALSE,en-AU,CREDITCARD,DISCOVER,6000,Western Australia,AU,6000,Western Australia,AU,,5,20,4/16/2007 19:44
M6362296185725909,55IFR7QA-OQ1F-GFFW-GT0G-Q0W65Q6U6U41,1110.21,DKK,21,A,P,64.25,kentucky,41056,us,FALSE,en-US,CREDITCARD,MC,41056,KY,US,41056,KY,US,M,0,17,2/21/2007 8:36
Y2566233225238813,Y6S72JYG-KKG4-RYJ8-4SQP-X0SNY791YJ76,630.8,USD,20,A,P,64.184,indiana,46792,us,FALSE,en-US,CREDITCARD,VISA,46766,IN,US,46766,IN,US,,1,21,8/21/2007 12:00
J5372851371086499,7T0XDKD9-0QYL-35O6-OQJJ-XD3D0R1PDRG9,1109.97,USD,11,A,P,125.253,new south wales,1005,au,FALSE,en-AU,CREDITCARD,VISA,4865,Queensland,AU,4865,Queensland,AU,X,4,21,6/16/2007 18:06
T7430429310137446,3KKCQT14-172K-FVRY-YYZQ-S38UOU8U0YVX,1945.84,EUR,7,A,P,109.156,sheffield,s1,gb,FALSE,en-GB,PAYPAL,VISA,td13dz,,GB,td13dz,,GB,M,5,19,6/23/2007 3:08
L2783454227768278,WWAWFGIE-59VM-5ZUO-4M15-XHRHCXG58JV4,1307.34,SGD,12,A,P,37.152,valencia,46001,es,FALSE,eu-ES,CREDITCARD,MC,3339,Alicante,ES,3339,Alicante,ES,M,3,11,7/29/2007 4:56
K3868763193824612,5G86GO4P-IGAM-C96J-5OAE-5RUE7PQM1JSE,1398.48,USD,18,A,P,98.77,florida,33144,us,FALSE,en-US,CREDITCARD,AMEX,33441,FL,US,33441,FL,US,M,3,13,8/18/2007 17:36
L7547437269801849,J76R9UZ6-67G9-BSYF-U1KL-OMH4MRW76R4P,505.35,USD,3,A,P,84.48,oslo,1006,no,FALSE,nb-NO,PAYPAL,MC,4520,,NO,4520,,NO,M,2,19,2/16/2007 16:43
R3121935543876788,HLK2F4NZ-FWQH-ZW62-HUGM-BM5OMS6US0D0,103.02,GBP,21,A,P,71.15,texas,76102,us,FALSE,en-US,CREDITCARD,,76033,TX,US,76033,TX,US,M,2,24,3/30/2007 15:30
V3750528239697027,CS9K6L4R-BZIC-Y6Z2-N2EI-9IK5PIBTGB9G,1231.55,USD,22,A,P,208.61,georgia,30309,us,FALSE,en-US,PAYPAL,AMEX,30092,GA,US,30092,GA,US,M,4,4,2/19/2007 2:16
A3368262865319419,AFXC6IE3-0JIV-O4Y4-KM5G-U3H0HRV0N57C,1982.15,USD,5,A,P,184.11,utah,84532,us,FALSE,en-US,CREDITCARD,VISA,84532,UT,US,84532,UT,US,M,4,20,2/11/2007 6:43
O9348741911971160,339MVI24-CGU9-MCSF-NNP8-9IC14WSV05ZW,1451.59,USD,10,A,P,173.187,georgia,30309,us,FALSE,en-US,CREDITCARD,MC,30521,GA,US,30521,GA,US,M,7,15,3/10/2007 2:37
Z2753823358228150,I1DJHMQS-2Q3M-1VA7-RTHT-8ABH8TN2GN5Y,227.76,USD,20,A,P,216.106,south dakota,57385,us,FALSE,en-US,CREDITCARD,VISA,57314,SD,US,57314,SD,US,M,8,22,2/10/2007 19:35
D7063395491601968,1AGYPBEX-4D2A-P0X3-X7CH-6RUUDK4APGAW,1216.75,USD,23,A,P,64.134,washington,98161,us,FALSE,en-US,CREDITCARD,VISA,52722,IA,US,52722,IA,US,M,6,23,2/22/2007 22:25
O6184946477313112,56RU98RB-EJ96-N7T0-HO2Y-F86K7HC3U9GT,135.24,USD,18,A,P,68.227,nebraska,68114,us,FALSE,en-US,CREDITCARD,VISA,68106,NE,US,68106,NE,US,M,8,23,5/20/2007 23:01
H1718860730815438,DIWJ3BFV-F6C8-FW3W-CQM2-7OGCQIDZK700,687.37,USD,11,A,P,200.219,distrito federal,70040-010,br,FALSE,pt-BR,CREDITCARD,MC,70673-206,DF,BR,70673-206,DF,BR,M,3,22,4/17/2007 12:56
W9410823489589145,B6U2298H-NLGI-XZE5-TOXB-C8U8URGLF66Q,311.77,USD,19,A,P,198.91,california,94085,us,FALSE,en-US,CREDITCARD,VISA,94085,CA,US,94085,CA,US,M,6,2,3/5/2007 5:48
Q9670151414126673,BE5VPFVU-7GJZ-XXSY-RMAN-3UFKXCTA9LB5,1456.35,USD,1,A,P,68.11,louisiana,70116,us,FALSE,en-US,CREDITCARD,MC,70001,LA,US,70001,LA,US,M,2,6,2/12/2007 22:55
L4044249613063281,O5FCWU1M-0R02-2RJR-43KV-KE0MDA0UHTZE,693.91,USD,6,A,P,83.223,lisboa,1900-798,pt,FALSE,pt-PT,CREDITCARD,VISA,9020-329,,PT,9020-329,,PT,M,5,24,6/2/2007 22:05
C7308518725628066,5MBF4T2A-33DA-34GZ-60OG-UBV2610KSG23,720.9,USD,11,A,P,49.183,new south wales,1005,au,FALSE,en-AU,CREDITCARD,AMEX,,,AU,,,AU,M,10,6,7/11/2007 8:14
O8167277232037981,A5B1R3Y5-42WR-U7PL-Q4ED-DO06TYKGM3B3,1613.01,USD,6,A,P,121.45,new south wales,1005,au,FALSE,en-AU,PAYPAL,VISA,,,AU,,,AU,M,5,21,2/21/2007 23:04
O4794204880081569,AQKL3T0T-3G3P-JC9N-Q503-I7GH62LV55I8,1193.69,AUD,15,A,P,76.182,texas,75002,us,FALSE,en-US,PAYPAL,VISA,75002,TX,US,75002,TX,US,M,5,23,5/2/2007 8:39
T4788571913916498,0NSATN4S-WN9A-CINP-2I8O-6GOFELFOMGTZ,1376.77,USD,22,A,P,99.156,florida,33144,us,FALSE,en-US,CREDITCARD,VISA,33131,FL,US,33131,FL,US,M,1,7,4/14/2007 21:46
S1703429349632397,8YULXWY0-ZPOA-H8FZ-KBP5-08R9UJID2FVX,1843.88,USD,10,A,P,98.159,alabama,35768,us,FALSE,en-US,CREDITCARD,MC,35768,AL,US,35768,AL,US,M,1,25,10/3/2007 9:01
A5394482615879143,KNRZ9GHT-PV5J-RN9H-5BRA-9FDPYSV9LV59,1383.47,USD,8,A,P,99.53,california,95122,us,FALSE,en-US,CREDITCARD,VISA,,,US,,,US,M,9,2,5/9/2007 23:38
H1222789215431168,BGH2TGP7-L7GV-R58D-X12A-8BIQMBCS8A56,1625.65,USD,7,A,P,198.146,tennessee,37203,us,FALSE,en-US,CREDITCARD,MC,37072,TN,US,37072,TN,US,M,2,3,6/10/2007 23:47
F9577996096922900,L3FUNAN2-6IAQ-1D1B-RF5Z-I31W5N5RBUC4,127.57,NOK,4,A,P,86.68,nord,59000,fr,FALSE,fr-FR,CREDITCARD,VISA,33800,,FR,33800,,FR,M,9,16,5/29/2007 10:11
I3050844663095030,D2TOWPEX-E29Z-EAT8-ZRA8-832FNP9T3UCL,217.6,NOK,15,A,P,141.161,district of columbia,20026,us,FALSE,en-US,CREDITCARD,AMEX,60610,IL,US,60610,IL,US,M,7,24,8/29/2007 11:06
R1304692355267404,VSGCMP4Z-YPEN-KH0R-ELP5-JTB3FIMBBYO5,1988.96,USD,12,A,P,98.199,texas,77396,us,FALSE,en-US,CREDITCARD,DISCOVER,77015,TX,US,77015,TX,US,M,5,20,4/2/2007 0:42
A7845220599015355,47LYTNKW-LTBE-D521-XCXB-7ECKKRCWFBRJ,1516.04,USD,14,A,P,96.41,oregon,97504,us,FALSE,en-US,CREDITCARD,AMEX,92129,CA,US,92129,CA,US,,6,13,9/29/2007 8:32
K3038658748244568,RK7FBXL0-5J8S-F8NP-B2I6-QEOG53CXOTLG,1799.35,AUD,14,A,P,99.27,missouri,63139,us,FALSE,en-US,PAYPAL,VISA,63640,MO,US,63640,MO,US,,6,12,4/7/2007 0:57
C4188903089909015,2SLQQEBH-SQJN-TIP2-8PGQ-59SVTFFXQYNO,1833.25,MXN,17,A,P,101.166,south australia,5000,au,FALSE,en-AU,PAYPAL,AMEX,,,AU,,,AU,M,6,23,5/20/2007 15:40
Y7709424493473931,55OVP4OH-6JX8-AM7R-QNQQ-9EJ711F8QRX9,1792.87,USD,14,A,P,69.51,michigan,49512,us,FALSE,en-US,CREDITCARD,AMEX,78130,TX,US,78130,TX,US,M,7,20,4/20/2007 17:28
P9615443531792775,RNCYYK3P-FPXU-0J3M-68ZD-LY3SCD2O6OTM,1057.74,USD,6,A,P,75.101,california,94706,us,FALSE,en-US,CREDITCARD,VISA,94707,CA,US,94707,CA,US,M,8,2,8/26/2007 1:15
X2151547273577767,P437X7CY-IPFX-5V3Q-U4L3-CNL95W5BGTAM,165.36,EUR,0,A,P,99.37,illinois,60544,us,FALSE,en-US,CREDITCARD,DISCOVER,60544,IL,US,60544,IL,US,M,8,9,5/29/2007 9:58
N8453232881461910,KB3LDC5C-DHC5-6P7Y-UPPJ-NBDOLOA11UEK,744.67,JPY,3,A,P,98.237,washington,98418,us,FALSE,en-US,CREDITCARD,VISA,,,US,,,US,M,2,22,4/15/2007 5:55
J8700288883578406,ZSNXOTUT-O00M-35MJ-HO76-X6ACVTDB6FQV,1731.2,USD,19,A,P,173.21,missouri,65806,us,FALSE,en-US,CREDITCARD,AMEX,,,US,,,US,M,2,21,2/10/2007 17:43
B6784881690699970,BIWFWA2F-AGPM-CNSH-6FG8-WABXSTKWILTN,1761.48,USD,2,A,P,76.216,illinois,60804,us,FALSE,en-US,CREDITCARD,VISA,60559,IL,US,60559,IL,US,,9,15,3/12/2007 23:30
C2829462146904554,IFV2I2KL-9770-R10J-QSOD-R7I9TO90ULR7,924.74,USD,1,A,P,131.107,washington,98052,us,TRUE,en-US,CREDITCARD,MC,,,US,,,US,M,5,21,4/7/2007 13:18
R8983932472807260,E5QJAQH1-Q2TS-TPZI-SUVV-ZWIR923ARIIY,1704.08,USD,7,A,P,128.252,missouri,63130,us,FALSE,en-US,CREDITCARD,AMEX,63026,MO,US,63026,MO,US,M,1,8,11/13/2007 12:16
Q6539393457017639,FOWWVYN3-A00R-FIMK-F40B-99H8ZRLN3OVJ,678.86,USD,7,A,P,193.14,norrbottens lan,974 52,se,FALSE,sv-SE,PAYPAL,,97755,,SE,97755,,SE,M,9,4,4/24/2007 2:40
X3382432769524480,U9PL9WWR-GL9F-VOLR-XKJ4-1A369XWXICSK,1013.88,USD,19,A,P,2.68,stockholms lan,118 58,se,TRUE,sv-SE,CREDITCARD,VISA,755 94,,SE,755 94,,SE,M,3,10,7/29/2007 3:54
H1909254839999456,6UWCGP7A-QDVQ-7171-XTD9-1MUEAXIKIRP8,1582.39,CAD,2,A,P,75.37,california,94566,us,FALSE,en-US,CREDITCARD,VISA,94596,CA,US,94596,CA,US,M,3,11,3/29/2007 5:52
J6364346422973798,68RZ9NIU-6I7H-33KJ-FH0U-8QMKPQBVAWSP,1043.13,USD,11,A,P,216.15,new york,14534,us,FALSE,en-US,CREDITCARD,VISA,98367,WA,US,98367,WA,US,M,2,5,2/19/2007 13:43
N5904326975411387,859JMBIA-WV0F-GS3Y-4Y7D-2ZGVG6I5X9XT,1404.45,USD,4,A,P,74.192,texas,78628,us,FALSE,en-US,CREDITCARD,VISA,,,US,,,US,M,9,0,2/10/2007 17:23
U5360628787132854,7JB7GML3-3IU6-84DE-QMVR-2ZE6JNKRI5FS,367.88,USD,19,A,P,74.7,new york,14614,us,FALSE,en-US,CREDITCARD,MC,12158,NY,US,12158,NY,US,M,9,15,3/8/2007 4:33
A3320880992025637,V9IC1PT4-BLE2-B00D-XHXU-3XNYTC7B51QM,1277.3,USD,23,A,P,208.13,massachusetts,2090,us,FALSE,en-US,CREDITCARD,VISA,98439,WA,US,98439,WA,US,M,5,25,8/28/2007 8:49
B1927594578423345,D5J0YGHK-W8XV-XACF-32RS-4J14C1W85VEY,1919.97,USD,20,A,P,71.15,south carolina,29601,us,FALSE,en-US,CREDITCARD,VISA,29302,SC,US,29302,SC,US,M,9,19,4/11/2007 16:12
N9105231634718837,TPMB65WU-I0V8-UXFB-BR24-DHCO8NAXTSHY,1544.3,USD,12,A,P,71.203,florida,32204,us,FALSE,en-US,PAYPAL,VISA,32218,FL,US,32218,FL,US,M,7,19,5/21/2007 20:49
J9749706482371028,EYQDPIIR-RJCZ-EO2G-BDZM-ZIWKIGJH2M4E,1890.44,USD,0,A,P,70.197,tennessee,37203,us,TRUE,en-US,CREDITCARD,VISA,29483,SC,US,29483,SC,US,M,7,9,2/10/2007 12:02
J1849877899017826,WSTLW546-SSYP-X7YB-F2WJ-N2OQ2EMRSYYX,1867.16,AUD,21,A,P,67.135,colorado,81101,us,FALSE,en-US,CREDITCARD,AMEX,80915,CO,US,80915,CO,US,M,1,23,4/26/2007 17:53
X1855841367545026,QR1MAJQ1-BO0H-IYKG-TATR-M5S828XRHY91,230.23,USD,21,A,P,108.217,alabama,36606,us,FALSE,en-US,CREDITCARD,VISA,36532,AL,US,36532,AL,US,,0,13,2/11/2007 0:11
Y2625692152685293,9KWB3XMO-2ROL-B5GV-0EJA-37MZ1PPBKFPU,352.81,GBP,2,A,P,158.37,vest-agder,4606,no,FALSE,nb-NO,CREDITCARD,MC,3790,,NO,3790,,NO,M,2,20,8/6/2007 3:11
K1342897077385322,RLBXJMVN-2J0U-QXBR-OACM-Y2SO4ID3AVA1,925.77,USD,9,A,P,206.212,west virginia,25755,us,FALSE,en-US,CREDITCARD,VISA,,,US,,,US,M,8,18,3/26/2007 21:43
H6051395917917689,HZ6IR675-EL21-UO0L-B0UJ-Z36S0JHEJL3J,718.36,USD,11,A,P,24.103,new york,10020,us,FALSE,en-US,CREDITCARD,VISA,10011,NY,US,10011,NY,US,M,9,6,3/31/2007 9:05
T7404194756382192,8GUHFV7N-WTMX-U2TU-E7L2-FHBX5MLYWK0N,1424.22,USD,23,A,P,95.223,nordrhein-westfalen,44001,de,FALSE,de-DE,CREDITCARD,VISA,44579,,DE,44579,,DE,M,7,10,3/23/2007 8:28
C9414425912542449,0TB1A48M-8TJ2-IC5D-KMO2-D38OR9IZX0UJ,1555.54,USD,10,A,P,79.99,greater london,sw17,gb,FALSE,en-GB,CREDITCARD,VISA,E4 6DD,,GB,E4 6DD,,GB,M,8,18,1/24/2008 13:52
H7337610475956898,4CAIY20C-HMCL-VRZ3-UP4R-OWHG0NLAEQ3D,1985.93,USD,15,A,P,70.5,ontario,n2h 5a5,ca,FALSE,en-CA,CREDITCARD,VISA,,,CA,,,CA,M,4,8,3/10/2007 4:30
R9132132267789483,2WWD54X6-XR0N-EEFB-JFR7-R9TMKQX9N0QF,745.18,USD,8,A,P,79.222,bayern,87401,de,FALSE,de-DE,CREDITCARD,VISA,87435,,DE,87435,,DE,M,4,19,6/25/2007 23:53
Y7917219965029058,7RWAJFOY-SHRX-P584-R447-MMEEU6G1L0R8,1016.71,USD,2,A,P,131.107,washington,98052,us,TRUE,en-US,CREDITCARD,AMEX,33015,FL,US,33015,FL,US,M,9,16,2/22/2007 17:16
T1861972084033188,1EPN1B7O-3L15-RDNT-FQ65-VCPJGB549CZV,1742.19,USD,20,A,P,68.35,florida,32301,us,FALSE,en-US,CREDITCARD,VISA,32304,FL,US,32304,FL,US,M,6,8,5/31/2007 19:47
M1042493971898099,5HOKIZHQ-C1Z0-Y9ZG-8GEI-X0RZSQW5GX4Z,1634.06,EUR,18,A,P,184.166,colorado,81501,us,FALSE,en-US,PAYPAL,VISA,81506,CO,US,81506,CO,US,M,10,0,4/6/2007 3:35
X8733596268293881,4YV47X2T-6ZXG-8CA1-R5TR-E3CQ95RBEUBM,713.21,USD,22,A,P,174.125,missouri,65299,us,FALSE,en-US,CREDITCARD,VISA,65205,MO,US,65205,MO,US,M,6,21,4/17/2007 9:14
K6807810821429341,BD7C2KSF-8XLQ-ZOI9-2IGZ-C9GWGS35S4C0,85.89,USD,15,A,P,98.231,maryland,20851,us,FALSE,en-US,CREDITCARD,VISA,20850-4289,MD,US,20850-4289,MD,US,,5,0,4/20/2007 0:31
O6857534671176202,XVT98T6Z-60TV-IP2K-CGS2-CU7XJB84MXD4,858.38,GBP,2,A,P,218.216,chiba,282-0001,jp,FALSE,ja-JP,CREDITCARD,MC,226-0021,????,JP,226-0021,????,JP,M,7,18,12/15/2007 22:50
E6230253119606852,U9QJ4Q5X-FT24-HT1K-V29Z-YXCEY39YQKCS,1542.79,USD,9,A,P,75.19,north carolina,28305,us,FALSE,en-US,CREDITCARD,VISA,28376,NC,US,28376,NC,US,M,3,8,2/10/2007 13:18
O9132624056043227,WJHF7SSQ-HCIH-6LTU-HFY9-KGMNTOE9HAEL,905.93,USD,11,A,P,99.98,oklahoma,74114,us,FALSE,en-US,CREDITCARD,AMEX,77429,TX,US,77429,TX,US,M,6,1,5/31/2007 18:46
G5116973615032726,A9ZKZMG1-T5UC-6JNV-XP63-SJA2KL13CWAU,1855.73,USD,2,A,P,75.8,california,92123,us,FALSE,en-US,PAYPAL,VISA,92122,CA,US,92122,CA,US,,8,21,9/7/2007 15:15
A6536269876894449,G1ISOD5Z-NOE1-H1OI-YJDB-V84O0KG92YI7,644.77,AUD,0,A,P,24.17,maryland,21740,us,FALSE,en-US,CREDITCARD,DISCOVER,21742,MD,US,21742,MD,US,M,2,8,7/13/2007 19:32
N4263507486022166,U5VOZWHM-HWYT-ZNWW-5E9K-MLCBOUL1PP9U,289.9,USD,14,A,P,109.99,bucuresti,70000,ro,NA,fr-CA,CREDITCARD,,G1K3B2,QC,CA,G1K3B2,QC,CA,,0,6,3/22/2007 10:48
R5187361760589532,3O5Q6PNG-Y80W-EASG-K6HK-F0AA8HQKDGS1,850.47,HKD,2,A,P,78.249,paris,75001,fr,FALSE,fr-FR,CREDITCARD,AMEX,75004,,FR,75004,,FR,M,10,6,2/25/2007 18:57
Q4914335153717086,2LOQVL6I-V5N9-ZXAU-B7J3-VB41O5JUAURU,789.61,GBP,9,A,P,71.83,nevada,89512,us,FALSE,en-US,CREDITCARD,VISA,96151,CA,US,96151,CA,US,M,8,4,3/27/2007 9:52
